	subject_number	AGE_GROUP	TRIAL	image_id	FIRST_LAST	CURRENT_FIX_INDEX	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_DURATION
3032	203	1	1	112	0	2	272.1	402.9	200
3033	203	1	1	112	0	3	302.0	225.2	382
3034	203	1	1	112	0	4	428.2	383.3	197
3035	203	1	1	112	0	5	405.1	299.7	315
3036	203	1	1	112	0	6	447.6	341.3	302
3037	203	1	1	112	0	7	474.6	282.9	252
3038	203	1	1	112	0	8	384.2	288.6	339
3039	203	1	1	112	0	9	530.1	250.2	181
3040	203	1	1	112	0	10	688.9	217.2	351
3041	203	1	1	112	0	11	670.6	344.5	156
3042	203	1	1	112	0	12	215.8	415.1	517
3043	203	1	1	112	0	13	284.1	392.7	231
3044	203	1	1	112	0	14	181.4	432.9	472
3045	203	1	1	112	0	15	188.4	474.5	147
3046	203	1	1	112	0	16	294.7	411.4	134
3047	203	1	1	112	0	17	289.6	192.1	354
3048	203	1	1	112	0	18	350.2	168.1	249
3049	203	1	1	112	2	19	494.7	189.0	319
3345	203	1	17	150	1	1	398.3	295.2	504
3346	203	1	17	150	0	2	396.9	298.4	35
3347	203	1	17	150	0	3	591.6	349.0	195
3348	203	1	17	150	0	4	304.5	506.3	92
3349	203	1	17	150	0	5	345.9	467.6	34
3350	203	1	17	150	0	6	424.5	516.5	252
3351	203	1	17	150	0	7	382.8	140.6	428
3352	203	1	17	150	0	8	287.6	245.5	240
3353	203	1	17	150	0	9	540.0	289.3	236
3354	203	1	17	150	0	10	437.4	290.5	368
3355	203	1	17	150	0	11	656.6	325.1	402
3356	203	1	17	150	0	12	379.9	201.7	324
3357	203	1	17	150	0	13	310.4	222.4	146
3358	203	1	17	150	0	14	249.4	88.9	323
3359	203	1	17	150	0	15	251.7	57.0	324
3360	203	1	17	150	0	16	293.2	514.8	112
3361	203	1	17	150	0	17	300.1	506.6	150
3362	203	1	17	150	0	18	401.2	539.0	172
3363	203	1	17	150	0	19	360.2	480.5	174
3364	203	1	17	150	0	20	339.1	467.4	263
